Quantitative Finding,Qualitative Finding,Integrated Interpretation
Linguistic accuracy increased,Participants consistently praised the fluency and grammatical quality of AI-revised texts.,AI-assisted revision substantially improved formal linguistic performance.
Lexical diversity (MTLD) decreased,Participants reported that their writing sounded less personal and less distinctive.,Improvements in textual quality coincided with reduced linguistic individuality.
Authenticity Gap scores increased,Participants questioned whether the revised texts genuinely represented their own writing.,Perceived ownership declined despite improvements in writing quality.
Linguistic Agency decreased,Participants described themselves as reviewing or approving AI suggestions rather than independently composing texts.,AI-assisted revision altered participants' perceived role during the writing process.
